show_id,country_1,country_2,country_3,country_4,country_5,country_6,country_7,country_8,country_9,country_10,country_11,country_12
s156,United Kingdom, United States,,,,,,,,,,
s157,United States,,,,,,,,,,,
s158,Canada,,,,,,,,,,,
s159,United States,,,,,,,,,,,
s160,Hong Kong,,,,,,,,,,,
s161,United States,,,,,,,,,,,
s162,United States,,,,,,,,,,,
s163,United States, China, Hong Kong,,,,,,,,,
s164,United States,,,,,,,,,,,
s165,United States,,,,,,,,,,,
s166,,,,,,,,,,,,
s167,Italy, United States,,,,,,,,,,
s168,United States, Canada,,,,,,,,,,
s169,United States,,,,,,,,,,,
s170,United States,,,,,,,,,,,
s171,United States,,,,,,,,,,,
s172,United States,,,,,,,,,,,
s173,United States, Germany,,,,,,,,,,
s174,United States,,,,,,,,,,,
s175,United States,,,,,,,,,,,
s176,United States,,,,,,,,,,,
s177,United States,,,,,,,,,,,
s178,United Kingdom, United States,,,,,,,,,,
s179,United States,,,,,,,,,,,
s180,United States,,,,,,,,,,,
s181,,,,,,,,,,,,
s182,,,,,,,,,,,,
s183,United States,,,,,,,,,,,
s184,United States,,,,,,,,,,,
s185,United States,,,,,,,,,,,
s186,,,,,,,,,,,,
s187,,,,,,,,,,,,
s188,,,,,,,,,,,,
s189,France,,,,,,,,,,,
s190,,,,,,,,,,,,
s191,India,,,,,,,,,,,
s192,United Kingdom, Canada, United States,,,,,,,,,
s193,India,,,,,,,,,,,
s194,, South Korea,,,,,,,,,,
s195,,,,,,,,,,,,
s196,India,,,,,,,,,,,
s197,,,,,,,,,,,,
s198,,,,,,,,,,,,
s199,Nigeria,,,,,,,,,,,
s200,India,,,,,,,,,,,
s201,India,,,,,,,,,,,
s202,India,,,,,,,,,,,
s203,India,,,,,,,,,,,
s204,India,,,,,,,,,,,
s205,India,,,,,,,,,,,
s206,India,,,,,,,,,,,
s207,India,,,,,,,,,,,
s208,India,,,,,,,,,,,
s209,India,,,,,,,,,,,
s210,India,,,,,,,,,,,
s211,India,,,,,,,,,,,
s212,India,,,,,,,,,,,
s213,Ireland,,,,,,,,,,,
s214,,,,,,,,,,,,
s215,,,,,,,,,,,,
s216,India,,,,,,,,,,,
s217,India,,,,,,,,,,,
s218,India,,,,,,,,,,,
s219,,,,,,,,,,,,
s220,Japan,,,,,,,,,,,
s221,United States,,,,,,,,,,,
s222,,,,,,,,,,,,
s223,,,,,,,,,,,,
s224,,,,,,,,,,,,
s225,,,,,,,,,,,,
s226,,,,,,,,,,,,
s227,,,,,,,,,,,,
s228,United States,,,,,,,,,,,
s229,United States, United Kingdom,,,,,,,,,,
s230,United States,,,,,,,,,,,
s231,,,,,,,,,,,,
s232,United States,,,,,,,,,,,
s233,United States,,,,,,,,,,,
s234,United Kingdom,,,,,,,,,,,
s235,,,,,,,,,,,,
s236,,,,,,,,,,,,
s237,,,,,,,,,,,,
s238,,,,,,,,,,,,
s239,,,,,,,,,,,,
s240,,,,,,,,,,,,
s241,,,,,,,,,,,,
s242,United States,,,,,,,,,,,
s243,,,,,,,,,,,,
s244,,,,,,,,,,,,
s245,,,,,,,,,,,,
s246,,,,,,,,,,,,
s247,,,,,,,,,,,,
s248,United States,,,,,,,,,,,
s249,,,,,,,,,,,,
s250,,,,,,,,,,,,
s251,,,,,,,,,,,,
s252,United States,,,,,,,,,,,
s253,,,,,,,,,,,,
s254,India,,,,,,,,,,,
s255,United States,,,,,,,,,,,
s256,,,,,,,,,,,,
s257,,,,,,,,,,,,
s258,,,,,,,,,,,,
s259,,,,,,,,,,,,
s260,India, Nepal,,,,,,,,,,
s261,,,,,,,,,,,,
s262,,,,,,,,,,,,
s263,,,,,,,,,,,,
s264,United States,,,,,,,,,,,
s265,United States,,,,,,,,,,,
s266,Japan,,,,,,,,,,,
s267,India,,,,,,,,,,,
s268,New Zealand, Australia, France, United States,,,,,,,,
s269,,,,,,,,,,,,
s270,Italy,,,,,,,,,,,
s271,Italy, Brazil, Greece,,,,,,,,,
s272,United States,,,,,,,,,,,
s273,United States,,,,,,,,,,,
s274,France,,,,,,,,,,,
s275,United States,,,,,,,,,,,
s276,Argentina,,,,,,,,,,,
s277,Spain,,,,,,,,,,,
s278,Jordan,,,,,,,,,,,
s279,Colombia,,,,,,,,,,,
s280,United States, Japan,,,,,,,,,,
s281,United States,,,,,,,,,,,
s282,Nigeria,,,,,,,,,,,
s283,Mexico,,,,,,,,,,,
s284,Belgium, United Kingdom,,,,,,,,,,
s285,United Kingdom, United States,,,,,,,,,,
s286,Switzerland, United Kingdom, Australia,,,,,,,,,
s287,United States,,,,,,,,,,,
s288,,,,,,,,,,,,
s289,Colombia,,,,,,,,,,,
s290,South Korea,,,,,,,,,,,
s291,United States,,,,,,,,,,,
s292,Japan,,,,,,,,,,,
s293,United Kingdom,,,,,,,,,,,
s294,South Africa,,,,,,,,,,,
s295,,,,,,,,,,,,
s296,United States,,,,,,,,,,,
s297,Israel, United States,,,,,,,,,,
s298,India,,,,,,,,,,,
s299,Nigeria,,,,,,,,,,,
s300,France,,,,,,,,,,,
s301,Canada, United States,,,,,,,,,,
s302,India,,,,,,,,,,,
s303,Brazil,,,,,,,,,,,
s304,Argentina,,,,,,,,,,,
s305,United Kingdom,,,,,,,,,,,
s306,Argentina, Spain,,,,,,,,,,
s307,Nigeria,,,,,,,,,,,
s308,United States,,,,,,,,,,,
s309,United States,,,,,,,,,,,
s310,,,,,,,,,,,,
s311,United States,,,,,,,,,,,
s312,Mexico,,,,,,,,,,,
s313,United States,,,,,,,,,,,
s314,Taiwan,,,,,,,,,,,
s315,United States,,,,,,,,,,,
s316,United States, Nigeria,,,,,,,,,,
s317,Taiwan,,,,,,,,,,,
s318,United States,,,,,,,,,,,
s319,,,,,,,,,,,,
s320,Taiwan,,,,,,,,,,,
s321,,,,,,,,,,,,
s322,Taiwan,,,,,,,,,,,
s323,Taiwan,,,,,,,,,,,
s324,United States,,,,,,,,,,,
s325,Italy,,,,,,,,,,,
s326,United States,,,,,,,,,,,
s327,United States,,,,,,,,,,,
s328,United States, United Kingdom,,,,,,,,,,
s329,Bulgaria, United States,,,,,,,,,,
s330,United States, Canada,,,,,,,,,,
s331,United States, Canada,,,,,,,,,,
s332,,,,,,,,,,,,
s333,United States, Mexico,,,,,,,,,,
s334,United States,,,,,,,,,,,
s335,United States,,,,,,,,,,,
s336,United States,,,,,,,,,,,
s337,,,,,,,,,,,,
s338,United States, Canada,,,,,,,,,,
s339,Japan,,,,,,,,,,,
s340,,,,,,,,,,,,
s341,United States, United Kingdom,,,,,,,,,,
s342,United States,,,,,,,,,,,
s343,United States,,,,,,,,,,,
s344,United States,,,,,,,,,,,
s345,United States,,,,,,,,,,,
s346,United States, Canada,,,,,,,,,,
s347,United States,,,,,,,,,,,
